item,actor,location
"blue crystal","merchant","Jova"
"garlic","crystal dude","Aljiba"
"heart","crystal dude","Alba"
"dagger","merchant","Jova - Thorn Whip Room"
"oak stake","merchant","Jova - Holy Water Room"
"laurels","merchant","Veros - Dagger Room"
"morning star","merchant","Veros - Chain Whip Room"
"magic cross","merchant","Aljiba - Garlic Room"
"garlic","merchant","Aljiba - Laurels Room"
"silk bag","merchant","Alba - Garlic Room"
"silver knife","merchant","Alba - Laurels Room"
"red crystal","merchant","Ondol - Morning Star Room"
"nail","merchant","Ondol - Laurels Room"
"oak stake","merchant","Doina - Laurels Room"
"golden knife","crystal dude","Laruba Mansion - Part 2"
"eyeball","merchant","Laruba Mansion - Part 2"
"laurels","Camilla","Laruba Mansion - Camilla Fight"
"thorn whip","orb","Laruba Mansion - Orb Room"
"chain whip","merchant","Berkeley Mansion - Part 2"
"holy water","orb","Berkeley Mansion - Part 2"
"ring","merchant","Rover Mansion - Part 2"
"sacred flame","orb","Rover Mansion - Part 2"
"laurels","merchant","Brahm Mansion - Part 1"
"oak stake","Death","Brahm Mansion - Death Fight"
"white crystal","orb","Brahm Mansion - Orb Room"
"oak stake","merchant","Bodley Mansion - Part 2"
"laurels","orb","Bodley Mansion - Part 2"
"diamond","sacred flame","Dabi's Path - Part 2"
"flame whip","secret merchant","Camilla Cemetery"
"laurels","secret merchant","Storigoi Graveyard (Blob Boost)"
"oak stake","crystal dude","Debious Woods - Part 3"
"rib","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
