item,actor,location
"sacred flame","merchant","Jova"
"dagger","crystal dude","Aljiba"
"white crystal","crystal dude","Alba"
"eyeball","merchant","Jova - Thorn Whip Room"
"laurels","merchant","Jova - Holy Water Room"
"golden knife","merchant","Veros - Dagger Room"
"garlic","merchant","Veros - Chain Whip Room"
"oak stake","merchant","Aljiba - Garlic Room"
"oak stake","merchant","Aljiba - Laurels Room"
"magic cross","merchant","Alba - Garlic Room"
"silk bag","merchant","Alba - Laurels Room"
"rib","merchant","Ondol - Morning Star Room"
"thorn whip","merchant","Ondol - Laurels Room"
"ring","merchant","Doina - Laurels Room"
"nail","crystal dude","Laruba Mansion - Part 2"
"oak stake","merchant","Laruba Mansion - Part 2"
"laurels","Camilla","Laruba Mansion - Camilla Fight"
"garlic","orb","Laruba Mansion - Orb Room"
"oak stake","merchant","Berkeley Mansion - Part 2"
"heart","orb","Berkeley Mansion - Part 2"
"laurels","merchant","Rover Mansion - Part 2"
"diamond","orb","Rover Mansion - Part 2"
"oak stake","merchant","Brahm Mansion - Part 1"
"laurels","Death","Brahm Mansion - Death Fight"
"silver knife","orb","Brahm Mansion - Orb Room"
"chain whip","merchant","Bodley Mansion - Part 2"
"morning star","orb","Bodley Mansion - Part 2"
"red crystal","sacred flame","Dabi's Path - Part 2"
"blue crystal","secret merchant","Camilla Cemetery"
"flame whip","secret merchant","Storigoi Graveyard (Blob Boost)"
"laurels","crystal dude","Debious Woods - Part 3"
"holy water","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
