item,actor,location
"dagger","merchant","Jova"
"white crystal","crystal dude","Aljiba"
"oak stake","crystal dude","Alba"
"garlic","merchant","Jova - Thorn Whip Room"
"golden knife","merchant","Jova - Holy Water Room"
"red crystal","merchant","Veros - Dagger Room"
"laurels","merchant","Veros - Chain Whip Room"
"garlic","merchant","Aljiba - Garlic Room"
"silver knife","merchant","Aljiba - Laurels Room"
"morning star","merchant","Alba - Garlic Room"
"chain whip","merchant","Alba - Laurels Room"
"heart","merchant","Ondol - Morning Star Room"
"blue crystal","merchant","Ondol - Laurels Room"
"laurels","merchant","Doina - Laurels Room"
"oak stake","crystal dude","Laruba Mansion - Part 2"
"laurels","merchant","Laruba Mansion - Part 2"
"diamond","Camilla","Laruba Mansion - Camilla Fight"
"sacred flame","orb","Laruba Mansion - Orb Room"
"magic cross","merchant","Berkeley Mansion - Part 2"
"eyeball","orb","Berkeley Mansion - Part 2"
"oak stake","merchant","Rover Mansion - Part 2"
"rib","orb","Rover Mansion - Part 2"
"silk bag","merchant","Brahm Mansion - Part 1"
"oak stake","Death","Brahm Mansion - Death Fight"
"flame whip","orb","Brahm Mansion - Orb Room"
"thorn whip","merchant","Bodley Mansion - Part 2"
"laurels","orb","Bodley Mansion - Part 2"
"oak stake","sacred flame","Dabi's Path - Part 2"
"ring","secret merchant","Camilla Cemetery"
"laurels","secret merchant","Storigoi Graveyard (Blob Boost)"
"nail","crystal dude","Debious Woods - Part 3"
"holy water","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
