item,actor,location
"silk bag","merchant","Jova"
"holy water","crystal dude","Aljiba"
"thorn whip","crystal dude","Alba"
"heart","merchant","Jova - Thorn Whip Room"
"laurels","merchant","Jova - Holy Water Room"
"blue crystal","merchant","Veros - Dagger Room"
"rib","merchant","Veros - Chain Whip Room"
"sacred flame","merchant","Aljiba - Garlic Room"
"nail","merchant","Aljiba - Laurels Room"
"diamond","merchant","Alba - Garlic Room"
"silver knife","merchant","Alba - Laurels Room"
"oak stake","merchant","Ondol - Morning Star Room"
"laurels","merchant","Ondol - Laurels Room"
"chain whip","merchant","Doina - Laurels Room"
"garlic","crystal dude","Laruba Mansion - Part 2"
"flame whip","merchant","Laruba Mansion - Part 2"
"oak stake","Camilla","Laruba Mansion - Camilla Fight"
"dagger","orb","Laruba Mansion - Orb Room"
"laurels","merchant","Berkeley Mansion - Part 2"
"oak stake","orb","Berkeley Mansion - Part 2"
"red crystal","merchant","Rover Mansion - Part 2"
"morning star","orb","Rover Mansion - Part 2"
"laurels","merchant","Brahm Mansion - Part 1"
"laurels","Death","Brahm Mansion - Death Fight"
"magic cross","orb","Brahm Mansion - Orb Room"
"oak stake","merchant","Bodley Mansion - Part 2"
"garlic","orb","Bodley Mansion - Part 2"
"white crystal","sacred flame","Dabi's Path - Part 2"
"golden knife","secret merchant","Camilla Cemetery"
"ring","secret merchant","Storigoi Graveyard (Blob Boost)"
"eyeball","crystal dude","Debious Woods - Part 3"
"oak stake","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
