item,actor,location
"red crystal","merchant","Jova"
"heart","crystal dude","Aljiba"
"oak stake","crystal dude","Alba"
"oak stake","merchant","Jova - Thorn Whip Room"
"oak stake","merchant","Jova - Holy Water Room"
"silver knife","merchant","Veros - Dagger Room"
"sacred flame","merchant","Veros - Chain Whip Room"
"morning star","merchant","Aljiba - Garlic Room"
"dagger","merchant","Aljiba - Laurels Room"
"blue crystal","merchant","Alba - Garlic Room"
"thorn whip","merchant","Alba - Laurels Room"
"flame whip","merchant","Ondol - Morning Star Room"
"laurels","merchant","Ondol - Laurels Room"
"golden knife","merchant","Doina - Laurels Room"
"diamond","crystal dude","Laruba Mansion - Part 2"
"garlic","merchant","Laruba Mansion - Part 2"
"laurels","Camilla","Laruba Mansion - Camilla Fight"
"ring","orb","Laruba Mansion - Orb Room"
"laurels","merchant","Berkeley Mansion - Part 2"
"eyeball","orb","Berkeley Mansion - Part 2"
"oak stake","merchant","Rover Mansion - Part 2"
"garlic","orb","Rover Mansion - Part 2"
"laurels","merchant","Brahm Mansion - Part 1"
"laurels","Death","Brahm Mansion - Death Fight"
"holy water","orb","Brahm Mansion - Orb Room"
"silk bag","merchant","Bodley Mansion - Part 2"
"chain whip","orb","Bodley Mansion - Part 2"
"white crystal","sacred flame","Dabi's Path - Part 2"
"nail","secret merchant","Camilla Cemetery"
"oak stake","secret merchant","Storigoi Graveyard (Blob Boost)"
"magic cross","crystal dude","Debious Woods - Part 3"
"rib","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
