item,actor,location
"garlic","merchant","Jova"
"blue crystal","crystal dude","Aljiba"
"heart","crystal dude","Alba"
"flame whip","merchant","Jova - Thorn Whip Room"
"oak stake","merchant","Jova - Holy Water Room"
"nail","merchant","Veros - Dagger Room"
"dagger","merchant","Veros - Chain Whip Room"
"eyeball","merchant","Aljiba - Garlic Room"
"laurels","merchant","Aljiba - Laurels Room"
"garlic","merchant","Alba - Garlic Room"
"laurels","merchant","Alba - Laurels Room"
"diamond","merchant","Ondol - Morning Star Room"
"magic cross","merchant","Ondol - Laurels Room"
"oak stake","merchant","Doina - Laurels Room"
"oak stake","crystal dude","Laruba Mansion - Part 2"
"laurels","merchant","Laruba Mansion - Part 2"
"chain whip","Camilla","Laruba Mansion - Camilla Fight"
"sacred flame","orb","Laruba Mansion - Orb Room"
"oak stake","merchant","Berkeley Mansion - Part 2"
"holy water","orb","Berkeley Mansion - Part 2"
"laurels","merchant","Rover Mansion - Part 2"
"thorn whip","orb","Rover Mansion - Part 2"
"rib","merchant","Brahm Mansion - Part 1"
"laurels","Death","Brahm Mansion - Death Fight"
"red crystal","orb","Brahm Mansion - Orb Room"
"silver knife","merchant","Bodley Mansion - Part 2"
"oak stake","orb","Bodley Mansion - Part 2"
"ring","sacred flame","Dabi's Path - Part 2"
"golden knife","secret merchant","Camilla Cemetery"
"white crystal","secret merchant","Storigoi Graveyard (Blob Boost)"
"silk bag","crystal dude","Debious Woods - Part 3"
"morning star","crystal dude","Vrad Mountain - Part 2 (Diamond Dude)"
